time,open,high,low,close
2024-10-25,18512.5771,18690.0085,18487.0626,18518.6063
2024-10-28,18648.2523,18671.0086,18563.0238,18567.1888
2024-10-29,18576.0876,18753.1931,18509.5944,18712.7484
2024-10-30,18731.6935,18785.4949,18598.2361,18607.9309
2024-10-31,18427.31,18427.31,18083.9517,18095.1506
11/01/2024,18189.6668,18363.9427,18181.5308,18239.9174
11/04/2024,18220.426,18308.3005,18112.8302,18179.9844
11/05/2024,18250.707,18449.6749,18250.707,18439.1707
11/06/2024,18772.7608,19000.4997,18730.2071,18983.4655
11/07/2024,19084.4278,19301.701,19084.4278,19269.4589
11/08/2024,19255.1404,19318.5568,19224.4344,19286.777
11/11/2024,19355.338,19366.0689,19193.2867,19298.7633
11/12/2024,19289.8135,19343.0457,19168.5244,19281.4012
2024-11-13,19286.4564,19358.482,19191.1269,19230.7394
2024-11-14,19256.0902,19275.8043,19073.3925,19107.6508
2024-11-15,18929.9159,18936.7514,18598.8738,18680.1209
